Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
間,あいだ,"1. space (between), gap, interval, distance, stretch<br>2. period of time (during, while), duration, interval<br>3. between (two parties or things)<br>4. among (a group)<br>5. relations (between), relationship<br>6. midpoint, average, halfway, middle ground<br>7. due to, because of",N4,3,でも　あっという<b>間</b>だったわね,But it all passed so quickly.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
まあ,まあ,"1. just (e.g. ""just wait here""), come now, now, now<br>2. tolerably, passably, moderately, reasonably, fairly, rather, somewhat<br>3. well..., I think..., it would seem..., you might say..., Hmmm, I guess so...<br>4. oh!, oh dear!, oh, my!, wow!, goodness gracious!, good heavens!",N3,3,<b>まあ</b>　とにかく,Well anyway,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
とにかく,とにかく,"1. anyhow, at any rate, anyway, somehow or other, generally speaking, in any case, at least",N3,3,まあ　<b>とにかく</b>,Well anyway,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
さわ子,さわ子,Sawako,Unlabeled,3,山中<b>さわ子</b>大先生！,Professor Sawako Yamanaka!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
絶対,ぜったい,"1. definitely, absolutely, unconditionally<br>2. absolute, unconditional, unmistakable<br>3. absoluteness",N3,3,唯先輩は<b>絶対</b>持ってくると思って,I thought Yui-senpai would definitely bring it.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
まま,まま,"1. as it is, as one likes, because, as<br>2. condition, state<br>3. sic, sic erat scriptum, the quoted matter has been transcribed exactly as found in the source text",Unlabeled,3,私達　先輩としての威厳がない<b>まま</b>,We lack the dignity as seniors.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
内緒,ないしょ,"1. secrecy, confidentiality, privacy, secret<br>2. one's circumstances (esp. fiscal)<br>3. inner realization, personal enlightenment<br>4. kitchen",Unlabeled,3,これ　もちろん先生には<b>内緒</b>で,"This, of course, is a secret from the teacher.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
喜ぶ,よろこぶ,"1. to be delighted, to be glad, to be pleased<br>2. to congratulate<br>3. to gratefully accept",N4,3,<b>喜ぶ</b>に決まってる！,I'm sure you'll like it!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
同じ,おなじ,"1. same, identical, equal, uniform, equivalent, similar, common (origin), changeless, alike<br>2. anyway, anyhow, in either case",N5,3,唯先輩のと<b>同じ</b>ギターですね,It's the same guitar as Yui's.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
抱きつく,だきつく,"1. to cling to, to embrace",Unlabeled,3,<b>抱きつい</b>てくれるのはな」とか,I'm the one who hugs you.'',[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
あげる,あげる,"1. to raise, to elevate<br>2. to do up (one's hair)<br>3. to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.)<br>4. to land (a boat)<br>5. to deep-fry<br>6. to show someone (into a room)<br>7. to give<br>8. to send someone (away)<br>9. to enrol (one's child in school), to enroll<br>10. to increase (price, quality, status, etc.), to develop (talent, skill), to improve<br>11. to make (a loud sound), to raise (one's voice)<br>12. to earn (something desirable)<br>13. to praise<br>14. to give (an example, etc.), to cite<br>15. to summon up (all of one's energy, etc.)<br>16. to arrest<br>17. to nominate<br>18. to summon (for geishas, etc.)<br>19. to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.)<br>20. to bear (a child)<br>21. to conduct (a ceremony, esp. a wedding)<br>22. (of the tide) to come in<br>23. to vomit<br>24. to do for (the sake of someone else)<br>25. to complete ...<br>26. to humbly do ...",N4,3,卒業して<b>あげる</b>とか　どうかな？,How about I help you graduate?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
新しい,あたらしい,"1. new, novel, fresh, recent, latest, up-to-date, modern",N5,3,あの　<b>新しい</b>靴で来ちゃったので,I came here with those new shoes.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
秋山,秋山,Akiyama,Unlabeled,3,<b>秋山</b>さんの手,Akiyama's hand,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
どういう,どういう,"1. somehow, how, in what way, why, what kind of",Unlabeled,3,<b>どういう</b>タイプですか,What type is it?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
靴下,くつした,"1. socks, sock, stockings, stocking",N5,3,それは寝るときの<b>靴下</b>の話！,It's about socks when you sleep!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
登校,とうこう,"1. attendance (at school), going to school",N1,3,そう　最後の<b>登校</b>日に,"Yes, on the last day of school",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
しか,しか,"1. only, nothing but",Unlabeled,3,とにかく　やる<b>しか</b>ないね,I have no choice but to do it anyway.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
方,かた,"1. direction, way<br>2. person, lady, gentleman<br>3. method of, manner of, way of<br>4. care of ...<br>5. person in charge of ...<br>6. side (e.g. ""on my mother's side"")",N5,3,その<b>方</b>が安いんだよ,That's cheaper,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
パスポート,パスポート,1. passport,N3,3,<b>パスポート</b>取ったじゃん,You got your passport.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
先,さっき,"1. a short while ago, a moment ago, just now, some time ago",N5,3,<b>先</b>に梓へのプレゼント,A present for Azusa first.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
チャンチャンチャカチャカ,チャンチャンチャカチャカ,1. Chan Chan Cha Ka Chaka (Auto-translated),Unlabeled,3,♬～<b>チャンチャンチャカチャカ</b>　チャカチャカチャカチャカ,♬ ~ Chan Chan Cha Ka Chaka Cha Ka Cha Ka Cha Ka Chaka,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
チャカチャカ,ちゃかちゃか,"1. restlessly, restively, agitated, fidgety",Unlabeled,3,♬～チャンチャン<b>チャカチャカ</b>　チャカチャカチャカチャカ,♬ ~ Chan Chan Cha Ka Chaka Cha Ka Cha Ka Cha Ka Chaka,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
決まる,きまる,"1. to be decided, to be settled, to be fixed, to be arranged<br>2. to be unchanging, to be the same (as always), to be fixed, to be set<br>3. to be a fixed rule, to be destined, to be a convention, to be a custom, to be common knowledge<br>4. to be well executed (of a manoeuvre in a sport, game, etc.), to go well, to succeed, to connect (of a punch)<br>5. to look good (of clothing), to look sharp, to be stylish, to suit one, to be held in place (of a hairdo)<br>6. to be struck and held (of a pose in kabuki)",N1,3,喜ぶに<b>決まっ</b>てる！,I'm sure you'll like it!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
結局,けっきょく,"1. after all, in the end, ultimately, eventually<br>2. conclusion, end<br>3. end of a game of go, shogi, etc.",N3,3,ヨーロッパって<b>結局</b>　どこ行くんだよ,Where will Europe end up?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
間違える,まちがえる,"1. to make a mistake (in), to commit an error (e.g. in calculation)<br>2. to confuse, to mistake something for something else",N4,3,ちょっと　<b>間違え</b>ちゃったや,I made a little mistake.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
そろそろ,そろそろ,"1. slowly, quietly, steadily, gradually, gingerly<br>2. soon, momentarily, before long, any time now",N4,3,<b>そろそろ</b>　ちゃんと決めるか,It's about time to decide properly,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
落ち着く,おちつく,"1. to calm down, to compose oneself, to regain presence of mind<br>2. to calm down, to settle down, to die down, to become stable, to abate<br>3. to settle down (in a location, job, etc.), to settle in<br>4. to be settled, to be fixed, to have been reached<br>5. to harmonize with, to harmonise with, to match, to suit, to fit<br>6. to be unobtrusive, to be quiet, to be subdued",Unlabeled,3,分かったから　<b>落ち着け</b>～,"I understand, so calm down~",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
国,くに,"1. country, state<br>2. region<br>3. national government, central government<br>4. home (i.e. hometown, home country)<br>5. province (of Japan)<br>6. land, earth",N5,3,紅茶の<b>国</b>だもんな,It's a country of tea.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
お母さん,おかあさん,"1. mother, mom, mum, ma<br>2. wife",N5,3,ありがとう　<b>お母さん</b>,Thank you mom,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
お願い,おねがい,"1. request, favour (to ask), wish<br>2. please",Unlabeled,3,で　<b>お願い</b>があるんだけど,"So, I have a request.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
しっかり,しっかり,"1. tightly (holding on), firmly, securely<br>2. strongly (built), solidly, sturdily, steadily<br>3. properly, well, sufficiently, hard (working, etc.), fully, completely<br>4. reliably, dependably, levelheadedly, shrewdly, wisely, cleverly",N4,3,私が<b>しっかり</b>しよう,I'll do my best,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
たくさん,たくさん,"1. a lot, lots, plenty, many, a large number, much, a great deal, a good deal<br>2. enough, sufficient<br>3. enough, too many, too much",N5,3,なるわ　<b>たくさん</b>詰め込んだもの,"I see, I packed a lot into it.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
使う,つかう,"1. to use (a thing, method, etc.), to make use of, to put to use<br>2. to use (a person, animal, puppet, etc.), to employ, to handle, to manage, to manipulate<br>3. to use (time, money, etc.), to spend, to consume<br>4. to use (language), to speak",N5,3,行き帰りに１泊<b>使う</b>から,I'll be spending one night on the way there and back.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
屋,や,1. (something) shop<br>2. somebody who sells (something) or works as (something)<br>3. somebody with a (certain) personality trait<br>4. house<br>5. roof,Unlabeled,3,紅茶<b>屋</b>さんに行こうね,Let's go to a tea shop,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
自由,じゆう,"1. freedom, liberty",N4,3,あの　それでしたら全て<b>自由</b>行動の,"Um, in that case, everything is free movement.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
行動,こうどう,"1. action, conduct, behaviour, behavior, mobilization, mobilisation",N3,3,あの　それでしたら全て自由<b>行動</b>の,"Um, in that case, everything is free movement.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
オカルト,オカルト,1. occult,Unlabeled,3,<b>オカルト</b>研も,Occult lab too,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
今度,こんど,"1. this time, now<br>2. next time, another time, shortly, soon<br>3. recently, lately, the other day",N4,3,<b>今度</b>　軽音部で,Next time in the light music club,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
おなか,おなか,"1. belly, abdomen, stomach",N5,3,大丈夫です　<b>おなか</b>,It's okay stomach,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
おやつ,おやつ,"1. between-meal snack<br>2. mid-afternoon (around 3 o'clock) snack, afternoon refreshment, afternoon tea",N2,3,<b>おやつ</b>の時間,snack time,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
うわ,うわ,"1. upper, upward, outer, surface, top",Unlabeled,3,<b>うわ</b>～　まだいたのかよ,"Wow, are you still there?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ヤダ,やだ,"1. not a chance, not likely, no way, no<br>2. oh no, yuck, eew<br>3. fault, defect, weak point",Unlabeled,3,<b>ヤダ</b>な　さわちゃん,"No way, Sawa-chan",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
嫌,いや,"1. disagreeable, detestable, unpleasant, reluctant",N5,3,もう劇は<b>嫌</b>だ,I don't like the play anymore,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
贈る,おくる,"1. to give (as a gift), to present<br>2. to confer, to bestow, to award",N3,3,いいよね　先輩が後輩に<b>贈る</b>曲,That's great. A song from a senior to a junior.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ウソ,うそ,"1. lie, fib, falsehood, untruth<br>2. mistake, error<br>3. unwise move, bad decision<br>4. no way!, unbelievable!, really?!",Unlabeled,3,<b>ウソ</b>　ウソ,lie lie,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
よいしょっ,よいしょ,"1. huff!, yo-heave-ho!, heigh-ho<br>2. to butter up, to suck up to",Unlabeled,3,<b>よいしょっ</b>と,Good shots,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
置く,おく,"1. to put, to place<br>2. to leave (behind)<br>3. to establish (an organization, a facility, a position, etc.), to set up<br>4. to appoint (someone to a certain position), to hire, to employ<br>5. to place (one's trust, one's faith, etc.), to bear (in mind, etc.)<br>6. to put down a tool (e.g. a pen) hence stopping what one is doing with that tool<br>7. to take in (boarders, etc.), to provide lodging in one's house<br>8. to separate spatially or temporally<br>9. to do something in advance<br>10. to leave something in a certain state, to keep something in a certain state",N5,3,じゃあ　唯先輩は<b>置い</b>ていきます,"Well, I'll leave Yui-senpai behind.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
過去,かこ,"1. the past, bygone days<br>2. one's past (that one would prefer remained secret)<br>3. past (tense), preterit, preterite<br>4. previous life",N3,3,<b>過去</b>とか未来とか行ったりして,Go to the past or the future,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
未来,みらい,1. the future (usually distant)<br>2. future tense<br>3. the world to come,N3,3,過去とか<b>未来</b>とか行ったりして,Go to the past or the future,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
チキン,チキン,"1. chicken<br>2. coward, scaredy-cat, chicken, wuss",Unlabeled,3,<b>チキン</b>？　オア　ビーフ？,chicken? Or beef?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ビーフ,ビーフ,1. beef,Unlabeled,3,チキン？　オア　<b>ビーフ</b>？,chicken? Or beef?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
プリーズ,プリーズ,1. please,Unlabeled,3,チキン　<b>プリーズ</b>,chicken please,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ミー,ミー,1. me,Unlabeled,3,アンド　<b>ミー</b>　ミー,and me me,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ロック,ロック,1. lock,Unlabeled,3,<b>ロック</b>っぽい服とかあるらしい,Apparently there are rock-ish clothes.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
あそこ,アソコ,Over there,N5,3,あッ　<b>あそこ</b>にあるじゃん,"Ah, it's over there.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
いやいや,いやいや,"1. no!, no no!, no, not at all",Unlabeled,3,<b>いやいや</b>いや　驚いちゃった,"No, no, I was surprised",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
座る,すわる,"1. to sit, to squat<br>2. to assume (a position)<br>3. to hold steady, to hold still",N5,3,ちょっと<b>座っ</b>てていいかな,Can I sit down for a while?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
晩ご飯,ばんごはん,"1. dinner, evening meal",Unlabeled,3,はッ　<b>晩ご飯</b>,"Ha, dinner",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
予約,よやく,"1. reservation, appointment, booking, advance order<br>2. contract, subscription, pledge<br>3. programming (e.g. a device), setting (e.g. a timer)",N4,3,ちゃんと<b>予約</b>が取れてるそうだ,Looks like you've got a reservation.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
アールズコート,アールズコート,Aruzukoto,Unlabeled,3,そして　<b>アールズコート</b>という所で,And at a place called Earl's Court,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
離れる,はなれる,"1. to be separated, to be apart, to be distant<br>2. to leave, to go away<br>3. to leave (a job, etc.), to quit, to give up<br>4. to lose connection with, to drift away from",N3,3,♬～<b>離れ</b>てても　同じ空見上げて,"♬~ Even if we are apart, we look up at the same sky",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
アズキャッ,アズキャッ,1. Azukya (Auto-translated),Unlabeled,3,唯ちゃん　荷物<b>アズキャッ</b>とくよ,"Yui-chan, I'll take your luggage as catch.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
こそ,こそ,"1. it is ... that ..., precisely, in particular, definitely, for sure, only (when, after, because, etc.)<br>2. although, while, it is the case that ... but<br>3. it is precisely because ... that ..., only because ...<br>4. not at all, not in the slightest, absolutely not, never",Unlabeled,3,今度<b>こそ</b>　本当に道しるべ,"This time, it's really a guide",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ジャパン,ジャパン,Jyapan,Unlabeled,3,<b>ジャパン</b>って言った,I said Japan,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
カレー,カレー,1. curry (esp. Japanese curry)<br>2. rice and curry,N5,3,「<b>カレー</b>のちライス」は？,What about “curry rice”?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ライス,ライス,1. rice (esp. when served on a plate),N1,3,「カレーのち<b>ライス</b>」は？,What about “curry rice”?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ワン,ワン,1. one,Unlabeled,3,<b>ワン</b>　ツー　ワン　ツー　スリー　フォー,One two one two three four,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ツー,ツー,1. two<br>2. dash (in Morse code),Unlabeled,3,ワン　<b>ツー</b>　ワン　ツー　スリー　フォー,One two one two three four,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ピリリ,ぴりり,"1. tingling, stinging, pungently",Unlabeled,3,♬～<b>ピリリ</b>,♬～Piriri,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
紹介,しょうかい,"1. introduction, presentation, referral, listing",N4,3,そう　その川上さんの<b>紹介</b>でね,"Yes, with Mr. Kawakami's introduction.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
なれる,なれる,"1. to get used to, to grow accustomed to, to become familiar with<br>2. to become skilled in, to become experienced at<br>3. to become tame, to become domesticated<br>4. to get used to doing",Unlabeled,3,やっと２人きりに<b>なれ</b>たね,We were finally alone together.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
昔,むかし,"1. olden days, former",N4,3,とっくの<b>昔</b>に気づいてたぞ,I noticed it a long time ago,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ジャン,ジャン,Jyan,Unlabeled,3,♬～一緒にね！！　<b>ジャン</b>！！,♬～Together! ! Jean! !,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
きっと,きっと,"1. surely, undoubtedly, almost certainly, most likely (e.g. 90 percent)<br>2. sternly, severely<br>3. having no slack, rigid, stiff, tight<br>4. suddenly, abruptly, instantly",N4,3,<b>きっと</b>出逢えるよ,I'm sure we'll meet,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
おっきい,おおきい,"1. big, large, great<br>2. loud<br>3. extensive, spacious<br>4. important, decisive, valuable<br>5. older, grown up",Unlabeled,3,スケールの<b>おっきい</b>曲が,A song with a big scale,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
おやすみ,おやすみ,"1. holiday, day off, absence<br>2. sleep, rest<br>3. Good night",N2,3,<b>おやすみ</b>　唯ちゃん,Good night Yui-chan,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ブラック,ブラック,"1. black<br>2. black (coffee), without cream or milk<br>3. exploitative (of one's employees), immoral, corrupt<br>4. boldface, blackface, heavy-faced type",Unlabeled,3,☎ラブ・クライシスと<b>ブラック</b>フリルが,☎Love Crisis and Black Frill,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
フリル,フリル,1. frill,Unlabeled,3,☎ラブ・クライシスとブラック<b>フリル</b>が,☎Love Crisis and Black Frill,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
あなた,きほう,"1. your home, your residence<br>2. you (referring to one's equal; epistolary style)",N5,3,☎<b>あなた</b>達にもお願いできない？,☎Can I ask you guys a favor too?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
送る,おくる,"1. to send (a thing), to dispatch, to despatch, to transmit<br>2. to take or escort (a person somewhere), to see off (a person)<br>3. to bid farewell (to the departed), to bury<br>4. to spend (time), to live one's life<br>5. to pass (down the line)<br>6. to affix okurigana",N4,3,<b>送っ</b>てることになるの？,Does that mean I'm sending it?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ピース,ピース,"1. peace<br>2. peas<br>3. piece<br>4. peace sign, V sign",Unlabeled,3,それ　<b>ピース</b>か？,Is that peace?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
困る,こまる,"1. to be troubled, to have difficulty, to be in a fix, to be at a loss, to be stumped, to be embarrassed<br>2. to be bothered, to be inconvenienced, to be annoyed<br>3. to be badly off, to be hard up, to be in straitened circumstances",N5,3,ないと<b>困る</b>よ,I'd be in trouble without it,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
お好み焼き,おこのみやき,"1. okonomiyaki, savoury pancake containing meat or seafood and vegetables",Unlabeled,3,<b>お好み焼き</b>＆ごはん,Okonomiyaki & rice,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
急,きゅう,"1. sudden, abrupt, unexpected<br>2. urgent, pressing<br>3. steep, sharp, precipitous<br>4. rapid, swift, fast<br>5. emergency, crisis, danger<br>6. urgency, hurrying, haste<br>7. (in gagaku or noh) end of a song",N4,3,<b>急</b>に何かしてたことを,What were you doing suddenly?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
泣く,なく,"1. to cry, to weep, to sob, to howl",N4,3,絶対<b>泣い</b>ちゃうわね＞,I'm definitely going to cry,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
雨,あめ,"1. rain<br>2. rainy day, rainy weather<br>3. the November suit (in hanafuda)",N5,3,♬～<b>雨</b>は　私に話しかけるよ,♬~The rain speaks to me,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
思い,おもい,"1. thought<br>2. imagination, mind, heart<br>3. desire, wish, hope, expectation<br>4. love, affection<br>5. feelings, emotion, sentiment, experience",Unlabeled,3,<b>思い</b>を歌に込めたから,Because I put my thoughts into a song,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
うまい,うまい,"1. skillful, skilful, clever, expert, wise, successful<br>2. delicious, appetizing, appetising, tasty<br>3. fortunate, splendid, promising",N4,3,<b>うまく</b>演奏できるかな,I wonder if I can play well?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
仲間,ちゅうげん,"1. samurai's attendant, footman",N3,3,♬～これからも<b>仲間</b>だから,♬～We will always be friends,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
てらっしゃる,て,"1. hand, arm<br>2. forepaw, foreleg<br>3. handle",Unlabeled,2,行っ<b>てらっしゃい</b>,Please go,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
解散,かいさん,"1. breaking up (e.g. meeting), dispersing (e.g. crowd)<br>2. dissolving (company, organization, etc.), liquidating, disbanding<br>3. dissolving (diet, parliament, etc.)",N2,2,もう軽音部は<b>解散</b>しちゃうかも,Maybe the light music club will disband already.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
方向,ほうこう,"1. direction, orientation, bearing, way<br>2. course (e.g. of action)",N3,2,目指す<b>方向</b>が違ってきたんだ,The direction I'm aiming for has changed,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
やつ,やっこ,"1. servant (esp. a samurai's attendant)<br>2. chivalrous man (Edo period)<br>3. cubed tofu (often served cold)<br>4. kite shaped like an Edo-period footman<br>5. Edo-period hairstyle worn by samurai's attendants<br>6. enslavement (of a woman; Edo-period punishment for her own or her husband's crime)<br>7. he, she, him, her",Unlabeled,2,音楽性の違いって<b>やつ</b>だよ,It's the difference in musicality.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
覚える,おぼえる,"1. to memorize, to memorise, to commit to memory, to learn by heart, to bear in mind, to remember<br>2. to learn, to pick up, to acquire<br>3. to feel<br>4. to think, to regard",N5,2,１つコードを<b>覚えれ</b>ば,If you remember one code,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
パンツ,パンツ,"1. underpants, pants, briefs, panties, shorts, knickers<br>2. trousers (esp. women's), jodhpurs, breeches, pants, trunks (e.g. swimming)",N2,2,転んで<b>パンツ</b>見せてたくせに,Even though I fell down and showed my panties,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
話す,はなす,"1. to talk, to speak, to converse, to chat<br>2. to tell, to explain, to narrate, to mention, to describe, to discuss<br>3. to speak (a language)",N5,2,コソコソ<b>話し</b>てたのはこれか！,Is this what you were secretly talking about?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
元気,げんき,"1. lively, full of spirit, energetic, vigorous, vital, spirited<br>2. healthy, well, fit, in good health",N5,2,この間はどうも　<b>元気</b>？,How are you doing during this time?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
フワフワ,ふわふわ,"1. lightly (floating, drifting, etc.), buoyantly<br>2. soft, fluffy, spongy<br>3. unsteadily, flightily, fickly, frivolously",Unlabeled,2,<b>フワフワ</b>してるのは　もう,It's already fluffy,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
軽い,かるい,"1. light (i.e. not heavy), feeling light (i.e. offering little resistance, moving easily)<br>2. light (i.e. of foot), effortless, nimble, agile<br>3. non-serious, minor, unimportant, trivial<br>4. slight, small, gentle, soft, easy, lighthearted (e.g. joke)<br>5. easy, simple<br>6. indiscriminate",N5,2,<b>軽く</b>１０００杯は　いってるかも,I might easily have 1000 cups.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
っちゃ,じゃあ,"1. then, well, so, well then<br>2. be, is",Unlabeled,2,って言ったの　り<b>っちゃ</b>んじゃん,That's what Ricchan said.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ハーモニカ,ハーモニカ,"1. harmonica, mouth organ<br>2. cunnilingus<br>3. hypodermic syringe",Unlabeled,2,弾けないわ　<b>ハーモニカ</b>は吹けないわ,I can't play the harmonica.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
チャラ,チャラ,"1. cancelling (a debt), forgiving (a debt), being even<br>2. forgetting (what was said or done), pretending (something never happened)",Unlabeled,2,ムギのチャン<b>チャラ</b>おかしいも,Wheat Chanchara is funny,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
