Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
とおり,とおり,"1. avenue, street, way, road<br>2. coming and going, street traffic<br>3. flow (of water, air, etc.)<br>4. transmission (of sound), reach (e.g. of voice)<br>5. fame, reputation, popularity<br>6. the same status or way, as (e.g. as expected, as I said)<br>7. understanding, comprehension<br>8. counter for sets of things, counter for methods, ways, types",Unlabeled,3,でも　ジョーの言う<b>とおり</b>だった,But Joe was right.,"#05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #11 PART キング VS ザコ.ja"
力,ちから,"1. force, strength, might, vigour, vigor, energy<br>2. capability, ability, proficiency, capacity, faculty<br>3. efficacy, effect<br>4. effort, endeavours, endeavors, exertions<br>5. power, authority, influence, good offices, agency<br>6. support, help, aid, assistance<br>7. stress, emphasis<br>8. means, resources",N4,3,上り坂でも推進<b>力</b>が働く,Propulsive force works even on uphill slopes,"#05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja"
速度,そくど,"1. speed, velocity, pace, rate<br>2. velocity",N3,3,相対<b>速度</b>の急激な変化により—,Due to sudden changes in relative velocity—,"#05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja"
ひどい,ひどい,"1. cruel, heartless, hard, harsh, severe<br>2. violent, intense, strong, heavy, extreme<br>3. very bad, terrible, awful<br>4. excessive, exorbitant, unreasonable, outrageous, unfair, unjust",N4,3,アイツに<b>ひどい</b>態度をとったこと？》,Have you ever treated him badly? 》,"#05 PART 情熱のダンシングNight!.ja, #10 PART 言葉のいらないDAP.ja"
主人,しゅじん,"1. head (of a household), proprietor (of a store), proprietress, landlord, landlady<br>2. one's husband<br>3. (one's) employer, (one's) master<br>4. host, hostess",Unlabeled,3,犬は<b>主人</b>には逆らえないと—,A dog cannot disobey its master...,"#05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja"
近づく,ちかづく,"1. to approach, to draw near, to get close<br>2. to get acquainted with, to get closer to, to get to know",Unlabeled,3,直線で<b>近づか</b>なけりゃ—,If you have to approach in a straight line—,#05 PART 情熱のダンシングNight!.ja
ちぎる,ちぎる,"1. to pledge, to vow, to promise, to swear<br>2. to have sexual intercourse (esp. between husband and wife), to share a bed",N2,3,愛抱夢はランガを<b>ちぎら</b>ない,A dream of love does not tear Ranga,"#05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja"
直線,ちょくせん,1. straight line,N2,3,あのトリックは<b>直線</b>でしか使えない,That trick can only be used in a straight line.,#05 PART 情熱のダンシングNight!.ja
だい,だい,"1. stand, rack, table, bench, podium, pedestal, platform, stage<br>2. support, holder, rack<br>3. counter for machines, incl. vehicles<br>4. setting (e.g. in jewellery)<br>5. level (e.g. price level), range (e.g. after physical units), period (of time, e.g. a decade of one's life)<br>6. elevated area<br>7. viewing platform<br>8. dish tray<br>9. meal<br>10. tall building, tower",Unlabeled,3,僕を待たせるつもり<b>だい</b>？,Are you trying to keep me waiting?,"#05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja, #11 PART キング VS ザコ.ja"
互角,ごかく,"1. equal (in ability), even, evenly matched, well-matched, on par (with)",Unlabeled,3,愛抱夢と<b>互角</b>に渡り合ってやがる,I'm competing with my dream of love,"#05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja"
おかしい,おかしい,"1. funny, amusing, comical, laughable, ridiculous<br>2. strange, odd, funny, peculiar, weird, unusual, eccentric<br>3. improper, unsuitable, unbecoming<br>4. suspicious",N4,3,どうも様子が<b>おかしい</b>な,Something's not quite right.,"#05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #12 PART 俺たちの無限大!.ja"
いったい,いったい,"1. (what) the heck, (why) in the world, (who) on earth<br>2. one object, one body, unity<br>3. one form, one style<br>4. one Buddhist image (or carving, etc.)<br>5. generally, in general",Unlabeled,3,<b>いったい</b>何が！　くさっ！,What on earth! Damn it!,"#05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja"
うっする,ウッ,"1. oof, ough, ulp",Unlabeled,3,<b>うっせ</b>ぇ！,It’s so hot!,"#06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #10 PART 言葉のいらないDAP.ja"
荷物,にもつ,"1. luggage, baggage, package<br>2. burden<br>3. payload (of a packet, cell, etc.)",N5,3,旅館に行って<b>荷物</b>を置くか,Should I go to the inn and leave my luggage?,#06 PART 湯けむりミステリースケート？!.ja
禁止,きんし,"1. prohibition, inhibition, ban",N3,3,だが　危険すぎて<b>禁止</b>になった,But it was banned because it was too dangerous.,"#06 PART 湯けむりミステリースケート？!.ja, #12 PART 俺たちの無限大!.ja"
ｂｅａｃｈ,ｂｅａｃｈ,*,Unlabeled,3,<b>ｂｅａｃｈ</b>！,Beach!,#06 PART 湯けむりミステリースケート？!.ja
鎌田,鎌田,Kamata,Unlabeled,3,愛之介様　<b>鎌田</b>警部補が,"Mr. Ainosuke, Lieutenant Kamata","#06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja"
警部補,けいぶほ,1. assistant inspector,Unlabeled,3,愛之介様　鎌田<b>警部補</b>が,"Mr. Ainosuke, Lieutenant Kamata","#06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja"
間違い,まちがい,"1. mistake, error, blunder<br>2. accident, mishap, trouble<br>3. improper conduct (e.g. between man and woman), indiscretion",N3,3,采配で<b>間違い</b>ありません,There is no doubt that he is in charge,"#06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja"
メイン,メイン,"1. main, principal<br>2. main dish, main course<br>3. main part, principal part",Unlabeled,3,<b>メイン</b>ディッシュを,main dish,#06 PART 湯けむりミステリースケート？!.ja
ディッシュ,ディッシュ,1. dish<br>2. parabolic antenna,Unlabeled,3,メイン<b>ディッシュ</b>を,main dish,#06 PART 湯けむりミステリースケート？!.ja
円,えん,1. yen (Japanese monetary unit)<br>2. circle,N3,3,これで３千<b>円</b>とか　シャドウのおっさん,"That's 3,000 yen, Shadow's old man.",#06 PART 湯けむりミステリースケート？!.ja
女将,おかみ,"1. proprietress (of a traditional Japanese inn or restaurant), landlady, hostess, mistress",Unlabeled,3,<b>女将</b>に地図をもらった,I got a map from the landlady.,#06 PART 湯けむりミステリースケート？!.ja
用事,ようじ,"1. tasks, things to do, errand, business (to take care of), affairs, engagement",N4,3,今日は<b>用事</b>があるって,I have something to do today.,"#06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja"
買う,かう,"1. to buy, to purchase<br>2. to value, to have a high opinion<br>3. to stir, to provoke, to draw upon oneself",N5,3,ママ 僕にもゲーム<b>買っ</b>て,"Mom, buy me a game too.","#06 PART 湯けむりミステリースケート？!.ja, #09 PART あの時、俺たちは特別だった.ja"
聞こえる,きこえる,"1. to be heard, to be audible<br>2. to be said to be, to be reputed",N4,3,僕には<b>聞こえ</b>てきたよ,I can hear it,"#06 PART 湯けむりミステリースケート？!.ja, #09 PART あの時、俺たちは特別だった.ja, #12 PART 俺たちの無限大!.ja"
レーザー,レーザー,"1. laser, Light Amplification by Stimulated Emission of Radiation",Unlabeled,3,お前が<b>レーザー</b>フリップ　メイクしたのも,You did the laser flip makeup,"#06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja"
どける,のける,"1. to put something out of the way, to move (something, someone) aside<br>2. to remove, to exclude, to take away<br>3. to set aside, to keep apart<br>4. to remove (someone) from the group, to shun<br>5. to do well despite difficulties, to accomplish despite adversity<br>6. to do resolutely, to do boldly",Unlabeled,3,<b>どけ</b>　お前は次で片づけてやる,"Get out of the way, I'll take care of you next time.","#06 PART 湯けむりミステリースケート？!.ja, #11 PART キング VS ザコ.ja"
素直,すなお,"1. obedient, meek, docile, unaffected<br>2. honest, frank, upfront (about one's feelings)",N2,3,自分の気持ちに<b>素直</b>になるのが,Being honest with your feelings,"#06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja"
たり,たり,"1. -ing and -ing (e.g. ""coming and going"")<br>2. doing such things as...<br>3. expresses a command<br>4. to be<br>5. indicates completion or continuation of an action",Unlabeled,3,祟りにでもあって<b>たり</b>してな,Maybe I'm under a curse.,"#06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja"
組,くみ,"1. set (of items)<br>2. group (of people), class (of students), company (esp. construction), family (i.e. mafia), team<br>3. typesetting, composition",N3,3,≪次の<b>組</b>はジョーだ！,≪The next group is Joe!,"#06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja"
ビッグ,ビッグ,1. big,Unlabeled,3,≪知らね～けど　<b>ビッグ</b>なんだろ！,<I don't know~ but it must be big!,#07 PART つりあわねーんだよ.ja
偽証罪,ぎしょうざい,1. crime of perjury,Unlabeled,3,僕も<b>偽証罪</b>を問われることになる,I will also be charged with perjury.,"#07 PART つりあわねーんだよ.ja, #12 PART 俺たちの無限大!.ja"
名誉,めいよ,"1. honor, honour, credit, prestige",N1,3,<b>名誉</b>毀損になると,When it comes to reputational damage,"#07 PART つりあわねーんだよ.ja, #09 PART あの時、俺たちは特別だった.ja, #11 PART キング VS ザコ.ja"
趣味,しゅみ,"1. hobby, pastime<br>2. tastes, preference, liking",N4,3,もっと別の<b>趣味</b>のほうがいい,I'd rather have another hobby.,"#07 PART つりあわねーんだよ.ja, #10 PART 言葉のいらないDAP.ja"
相方,あいかた,"1. partner (esp. in manzai), companion<br>2. partner for the night (e.g. at a brothel)",Unlabeled,3,てか　<b>相方</b>ってなんだよ！,"Hey, what is a partner?",#07 PART つりあわねーんだよ.ja
強い,つよい,"1. strong, potent, competent, domineering, tough<br>2. strong, brawny, powerful, healthy, rugged<br>3. good (at), skilled, knowledgeable<br>4. being able to handle, know how to deal (with), durable (against), resistant (to), resilient<br>5. firm, rigid, solid<br>6. intense, strong, fierce, high<br>7. dependable, trustworthy",N5,3,僕は<b>強い</b>男になったんです,I became a strong man,#07 PART つりあわねーんだよ.ja
雑魚,ざこ,"1. small fish, small fry<br>2. (a) nobody, small fry, unimportant person",Unlabeled,3,この　クソ<b>雑魚</b>がぁあああ～！,This damn small fry!,"#07 PART つりあわねーんだよ.ja, #11 PART キング VS ザコ.ja"
走れる,走れる,1. I can run (Auto-translated),Unlabeled,3,≪<b>走れ</b>走れ～！,"≪Run, run!","#07 PART つりあわねーんだよ.ja, #09 PART あの時、俺たちは特別だった.ja"
ひとり,ひとり,"1. one person<br>2. being alone, being by oneself<br>3. being single, being unmarried<br>4. by oneself, alone<br>5. just, only, simply",Unlabeled,3,今夜は　<b>ひとり</b>で行ってくれ　なっ,Please go alone tonight.,"#07 PART つりあわねーんだよ.ja, #11 PART キング VS ザコ.ja"
努力,どりょく,"1. effort, exertion, endeavour, endeavor, hard work, striving",N3,3,それは　お前の素質と<b>努力</b>だよ,It's your talent and effort.,"#07 PART つりあわねーんだよ.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja"
燃える,もえる,"1. to burn, to get fired up",N3,3,僕のハートが<b>燃え</b>ないよ！,My heart won't burn!,"#07 PART つりあわねーんだよ.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
エントリー,エントリー,"1. entry (into an event, competition, etc.), applying for entry, registering to participate<br>2. entry (on a blog), post",Unlabeled,3,[モニター]<b>エントリー</b>シートを,[Monitor] Entry sheet,"#07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja"
位,くらい,"1. throne, crown, (nobleman's) seat<br>2. government position, court rank<br>3. social standing, rank, class, echelon, rung<br>4. grade (of quality, etc.), level, tier, rank<br>5. position of a figure (e.g. tens, thousands), digit, (decimal) place<br>6. degree, extent, amount",N3,3,２<b>位</b>までに入れば本選に進める,"If you finish in the top 2, you will advance to the finals.",#08 PART 宿命のトーナメント!.ja
とぼける,とぼける,"1. to play dumb, to feign ignorance, to play innocent, to have a blank facial expression<br>2. to play the fool<br>3. to be in one's dotage",Unlabeled,3,<b>とぼける</b>な！,Don't be fooled!,"#08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja"
追う,おう,"1. to chase, to run after, to pursue, to follow after<br>2. to follow (a set order, a trend, etc.)<br>3. to drive out, to get rid of, to oust, to expel<br>4. to drive (e.g. a herd)<br>5. to be pressed (e.g. for time)",N3,3,各界の有名選手の今を<b>追う</b>…,Follow the current status of famous athletes from various fields...,"#08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja"
ぇぞ,ぇぞ,1. Yeah! (Auto-translated),Unlabeled,3,≪すげ<b>ぇぞ</b>　ルーキー！,≪Amazing Rookie!,"#08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #12 PART 俺たちの無限大!.ja"
４,し,1. four,Unlabeled,3,[スピーカー]<b>４</b>分00秒です,[Speaker] 4 minutes 00 seconds.,"#08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja"
キャップ,キャップ,"1. cap (headwear)<br>2. cap (of a bottle, pen, etc.)<br>3. leader, chief, head",Unlabeled,3,≪<b>キャップ</b>マンが滑るとかアリなのかよ!?,≪Is it possible for a cap man to slip?,"#08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja"
マン,マン,1. man,Unlabeled,3,≪キャップ<b>マン</b>が滑るとかアリなのかよ!?,≪Is it possible for a cap man to slip?,"#08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja"
感じ,かんじ,"1. feeling, sense, impression",N3,3,一人ぼっちな<b>感じ</b>なんだ　アイツは,He feels like he's all alone.,"#08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja"
人生,じんせい,1. (human) life (i.e. conception to death),N3,3,<b>人生</b>を棒に振るつもりか,Are you planning on ruining your life?,"#08 PART 宿命のトーナメント!.ja, #11 PART キング VS ザコ.ja"
ドキドキ,ドキドキ,"1. thump-thump, bang-bang, pit-a-pat, pitapat, pitter-patter<br>2. to beat fast (of one's heart), to throb, to pound, to palpitate",Unlabeled,3,楽しくて　<b>ドキドキ</b>して,It's fun and I'm excited,"#08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja"
壊れる,こわれる,"1. to be broken, to break<br>2. to fall through, to come to nothing",N4,3,<b>壊れ</b>たら直せばいいだろ,"If it's broken, you can fix it.","#08 PART 宿命のトーナメント!.ja, #11 PART キング VS ザコ.ja"
パワーブレイク,パワーブレイク,1. power break (Auto-translated),Unlabeled,3,≪でた！　<b>パワーブレイク</b>！,≪It came out! Power break!,"#08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja"
間違う,まちがう,"1. to make a mistake, to be incorrect, to be mistaken",N1,3,<b>間違っ</b>た選択肢を与えてしまった,gave the wrong choice,"#08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
応じる,おうじる,"1. to respond, to satisfy, to accept, to comply with, to apply for",N3,3,だがヤツは<b>応じよ</b>うとしない,But he won't respond,"#09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja"
進入,しんにゅう,"1. entry, approach, penetration",Unlabeled,3,<b>進入</b>角度も甘い,The approach angle is also poor,#09 PART あの時、俺たちは特別だった.ja
強引,ごういん,"1. overbearing, coercive, pushy, forcible, high-handed",N2,3,スケートも口説きも<b>強引</b>さが信条でね,My philosophy is to be forceful when it comes to skating and making advances.,#09 PART あの時、俺たちは特別だった.ja
かわす,かわす,"1. to exchange (messages, greetings, arguments, etc.)<br>2. to intersect, to cross, to interlace<br>3. ... with one another, ... to each other",Unlabeled,3,《桜屋敷：俺が<b>かわす</b>ことは,《Sakura Mansion: What I dodge,#09 PART あの時、俺たちは特別だった.ja
予想,よそう,"1. expectation, anticipation, prediction, forecast, conjecture",N1,3,君は僕の<b>予想</b>を,you predict my prediction,"#09 PART あの時、俺たちは特別だった.ja, #11 PART キング VS ザコ.ja"
戦,いくさ,"1. war, battle, campaign, fight<br>2. troops, forces",N1,3,≪これ事実上の決勝<b>戦</b>じゃね？,≪Isn't this the de facto final?,"#09 PART あの時、俺たちは特別だった.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
仕掛ける,しかける,"1. to start, to begin, to commence<br>2. to challenge, to pick (a fight), to make (war), to draw (a reaction) from<br>3. to set (traps), to plant (explosives), to lay (mines)<br>4. to make a meld call",N1,3,愛抱夢が<b>仕掛ける</b>！,Love dream sets it up!,#09 PART あの時、俺たちは特別だった.ja
通り,とおり,"1. avenue, street, way, road<br>2. coming and going, street traffic<br>3. flow (of water, air, etc.)<br>4. transmission (of sound), reach (e.g. of voice)<br>5. fame, reputation, popularity<br>6. the same status or way, as (e.g. as expected, as I said)<br>7. understanding, comprehension<br>8. counter for sets of things, counter for methods, ways, types",N3,3,《桜屋敷：やはり思った<b>通り</b>だ,《Sakura Mansion: As expected.,"#09 PART あの時、俺たちは特別だった.ja, #11 PART キング VS ザコ.ja"
つまらない,つまらない,"1. dull, uninteresting, boring, tedious<br>2. insignificant, unimportant, trifling, trivial, worthless<br>3. absurd, foolish, silly, stupid<br>4. useless, pointless, disappointing",N5,3,やっぱりチェリーは　<b>つまらない</b>な,Cherry is boring after all,"#09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
イヴ,イブ,"1. eve (esp. Christmas Eve), the night before",Unlabeled,3,僕らは　アダムと<b>イヴ</b>になるんだから,We become Adam and Eve,"#09 PART あの時、俺たちは特別だった.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
てめぇ,てめえ,"1. you<br>2. I, me, oneself, myself, yourself, himself, herself",Unlabeled,3,<b>てめぇ</b>は何もわかってねえ,You don't understand anything,#10 PART 言葉のいらないDAP.ja
くだらない,くだらない,"1. trivial, trifling, insignificant, not worth bothering with, worthless, useless, good-for-nothing<br>2. stupid, nonsensical, absurd, foolish, silly",N2,3,やめろ！　こんな<b>くだらない</b>世界に,Stop it! In such a stupid world,"#10 PART 言葉のいらないDAP.ja, #12 PART 俺たちの無限大!.ja"
１つ,ひとつ,"1. one<br>2. for one thing<br>3. only<br>4. (not) even<br>5. just (e.g. ""just try it"")<br>6. some kind of, one type of",Unlabeled,3,もう<b>１つ</b>付け足そうよ,Let's add one more thing.,"#10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
アハハ,あはは,1. a-ha-ha (laughing loudly),Unlabeled,3,<b>アハハ</b>ハッ！,Ahahaha!,"#10 PART 言葉のいらないDAP.ja, #12 PART 俺たちの無限大!.ja"
障害,しょうがい,"1. obstacle, impediment, hindrance, difficulty, barrier<br>2. handicap, impairment, disability, disorder, malfunction",N3,3,愛に<b>障害</b>はつきものさ,Love always comes with obstacles,"#10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
アッハハハハ,アッハハハハ,1. Ahahahaha (Auto-translated),Unlabeled,3,<b>アッハハハハ</b>！　ハハハッ！,Ahahahaha! Hahaha!,#11 PART キング VS ザコ.ja
指名,しめい,"1. naming, nominating, designating<br>2. calling on, asking for, requesting",Unlabeled,3,はあ？　<b>指名</b>しといてなんだよ,Huh? Why don't you nominate me?,#11 PART キング VS ザコ.ja
ファン,ファン,"1. fan, enthusiast, lover (of)<br>2. fan (e.g. electric)",N1,3,雑誌のは大<b>ファン</b>とかのＦＡＮだよ,I'm a big fan of magazines.,#11 PART キング VS ザコ.ja
求める,もとめる,"1. to want, to wish for<br>2. to request, to demand, to require, to ask for<br>3. to seek, to search for, to look for, to pursue (pleasure), to hunt (a job)<br>4. to purchase, to buy",N3,3,愛之介様を<b>求め</b>ている,I'm looking for Ainosuke-sama,"#11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
捜査,そうさ,"1. search (esp. in criminal investigations), investigation, inquiry, enquiry",N1,3,神道議員の<b>捜査</b>がまだ！,The Shinto lawmaker is still being investigated!,"#11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
テレビ,テレビ,"1. television, TV<br>2. TV program, TV programme, TV broadcast",N5,2,まだ　ヒーローの<b>テレビ</b>とか見てた頃さ,I was still watching heroes on TV.,"#01 PART 熱い夜に雪が降る.ja, #12 PART 俺たちの無限大!.ja"
モテ,モーテル,1. motel<br>2. drive-in love hotel<br>3. Motel,Unlabeled,2,女に<b>モテ</b>ること？,Do you want to be popular with women?,"#01 PART 熱い夜に雪が降る.ja, #06 PART 湯けむりミステリースケート？!.ja"
盛り上がる,もりあがる,"1. to swell, to rise, to bulge, to be piled up<br>2. to rouse, to get excited",N1,2,今日も<b>盛り上がっ</b>てんな～,It's so exciting today too!,"#01 PART 熱い夜に雪が降る.ja, #10 PART 言葉のいらないDAP.ja"
なめ,なめ,"1. smooth unlettered back surface of an old ""zeni"" coin",Unlabeled,2,なっ！　くそ　<b>なめ</b>やがって！,"What! Damn, you licked me!","#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja"
もう少し,もうすこし,"1. a bit more, a bit longer",Unlabeled,2,<b>もう少し</b>で…》,Almost...》,#01 PART 熱い夜に雪が降る.ja
アンチ,アンチ,1. anti-<br>2. hater,Unlabeled,2,≪Ｓ界の<b>アンチ</b>ヒーロー！,≪Antihero of the S world!,#01 PART 熱い夜に雪が降る.ja
興味,きょうみ,"1. interest (in something), curiosity (about something), zest (for)",N4,2,君に対する<b>興味</b>が,I'm interested in you,"#01 PART 熱い夜に雪が降る.ja, #04 PART 愛のマタドール、愛抱夢.ja"
背,せい,"1. height, stature",N5,2,ルーキーくんは<b>背</b>が高くて,Rookie-kun is tall,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja"
馳河,はせさんじる,"1. to hasten to join, to hurry to visit",Unlabeled,2,<b>馳河</b>ランガです,This is Ranga Hasegawa.,#01 PART 熱い夜に雪が降る.ja
問題,もんだい,"1. question (e.g. on a test), problem<br>2. problem (e.g. societal, political), question, issue, subject (e.g. of research), case, matter<br>3. question (i.e. doubt)<br>4. public discussion, controversy<br>5. trouble, problem, inconvenience, difficulty",N5,2,<b>問題</b>ない　カスリ傷だ,"No problem, just a scratch.","#01 PART 熱い夜に雪が降る.ja, #09 PART あの時、俺たちは特別だった.ja"
裏,うら,"1. opposite side, bottom, other side, side hidden from view, undersurface, reverse side<br>2. rear, back, behind<br>3. lining, inside<br>4. in the shadows, behind the scenes, offstage, behind (someone's) back<br>5. more (to something than meets the eye), hidden side (e.g. of one's personality), unknown circumstances, different side<br>6. proof<br>7. opposite (of a prediction, common sense, etc.), contrary<br>8. inverse (of a hypothesis, etc.)<br>9. bottom (of an inning), last half (of an inning)",N4,2,はい　<b>裏</b>帳簿のほうも,"Yes, the back ledger too","#01 PART 熱い夜に雪が降る.ja, #07 PART つりあわねーんだよ.ja"
未成年,みせいねん,"1. minor, not of age",Unlabeled,2,<b>未成年</b>は雇えないんだ,You can't hire minors.,"#01 PART 熱い夜に雪が降る.ja, #06 PART 湯けむりミステリースケート？!.ja"
止める,とめる,"1. to stop, to turn off<br>2. to park<br>3. to prevent, to suppress (a cough), to hold back (tears), to hold (one's breath), to relieve (pain)<br>4. to stop (someone from doing something), to dissuade, to forbid, to prohibit<br>5. to notice, to be aware of, to concentrate on, to pay attention to, to remember, to bear in mind<br>6. to fix (in place), to fasten, to tack, to pin, to nail, to button, to staple<br>7. to detain, to keep in custody",N4,2,お～い！　<b>止め</b>てくれ～！,Hey! Please stop!,"#01 PART 熱い夜に雪が降る.ja, #11 PART キング VS ザコ.ja"
屋,や,1. (something) shop<br>2. somebody who sells (something) or works as (something)<br>3. somebody with a (certain) personality trait<br>4. house<br>5. roof,Unlabeled,2,ラーメン<b>屋</b>あったはずなんだけど—,There must have been a ramen shop...,"#01 PART 熱い夜に雪が降る.ja, #05 PART 情熱のダンシングNight!.ja"
ハハハハッ,ハハハハッ,1. Hahahaha (Auto-translated),Unlabeled,2,存分にコケろ！　<b>ハハハハッ</b>！,Get rid of it to your heart's content! Hahahaha!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja"
ミリ,ミリ,"1. milli-, 10^-3<br>2. millimetre, millimeter",N2,2,１<b>ミリ</b>も進んでねえ～！,It hasn't advanced even one millimeter!,"#01 PART 熱い夜に雪が降る.ja, #04 PART 愛のマタドール、愛抱夢.ja"
欲しい,ほしい,"1. wanted, wished for, in need of, desired<br>2. I want (you) to",N5,2,<b>欲しい</b>もんでもあんの？,Is it even what you want?,"#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja"
困る,こまる,"1. to be troubled, to have difficulty, to be in a fix, to be at a loss, to be stumped, to be embarrassed<br>2. to be bothered, to be inconvenienced, to be annoyed<br>3. to be badly off, to be hard up, to be in straitened circumstances",N5,2,俺も暦も行けなくて<b>困っ</b>ててさ,I'm in trouble because neither I nor Koyomi can go.,"#01 PART 熱い夜に雪が降る.ja, #10 PART 言葉のいらないDAP.ja"
ほしい,ほしい,"1. wanted, wished for, in need of, desired<br>2. I want (you) to",Unlabeled,2,ここに届けて<b>ほしい</b>んだ,I want you to deliver it here,"#01 PART 熱い夜に雪が降る.ja, #06 PART 湯けむりミステリースケート？!.ja"
あさって,あさって,1. day after tomorrow,N5,2,時間は　<b>あさって</b>の夜０時,The time is midnight the next day,"#01 PART 熱い夜に雪が降る.ja, #10 PART 言葉のいらないDAP.ja"
普段,ふだん,"1. usual, normal, everyday, habitual, ordinary<br>2. usually, normally, generally, habitually, always",N3,2,<b>普段</b>なら俺が行くんだけど,Normally I'd go,"#01 PART 熱い夜に雪が降る.ja, #10 PART 言葉のいらないDAP.ja"
最低,さいてい,"1. least, lowest, minimum<br>2. worst<br>3. awful, horrible, nasty, disgusting<br>4. at the very least",N3,2,そういうウソは<b>最低</b>っスよ！店長のくせに！,That kind of lie is the worst! Even though you're the manager!,"#01 PART 熱い夜に雪が降る.ja, #10 PART 言葉のいらないDAP.ja"
口外,こうがい,"1. revealing (information, a secret, etc.), disclosure, telling, letting out",Unlabeled,2,「Ｓ」は<b>口外</b>無用の,"""S"" is unnecessary","#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja"
極秘,ごくひ,1. absolute secrecy,Unlabeled,2,<b>極秘</b>のレースだからな,Because it's a top secret race.,"#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja"
番,ばん,"1. number (in a series)<br>2. (one's) turn<br>3. watch, guard, lookout<br>4. rank, standing, position<br>5. bout, match<br>6. pieces (in a collection)",N3,2,次は３<b>番</b>の映像をモニターに,"Next, put the third image on the monitor.","#01 PART 熱い夜に雪が降る.ja, #04 PART 愛のマタドール、愛抱夢.ja"
一気に,いっきに,"1. in one go, in one gulp, in one breath, without stopping, without pausing, without resting, in one sitting, at a stretch, all at once<br>2. immediately, instantly, right away, straight away, straightaway",Unlabeled,2,<b>一気に</b>ケリをつけてやる！,I'll settle things all at once!,"#01 PART 熱い夜に雪が降る.ja, #11 PART キング VS ザコ.ja"
